case_id,year,case_name,case_artist,case_title,case_role,gpt_artist,gpt_title,gpt_conf
206,2012,"Barobax v. Chakraborty, et al.",Kevian Haghgoo et al.,Soosan Khanoom,complainer,Barobax,Soosan Khanoom,0.9
207,2013,Hobbs v. John,Guy Hobbs,Natasha,complainer,Elton John,Nikita,0.9
208,2013,Loomis v. Cornish,Will Loomis,Bright Red Chords,complainer,Christina Aguilera,Ain't No Other Man,0.8
209,2013,"Twilight Records v. Raymond, et al.",Usher Raymond,Syl Johnson,complainer,Usher,Climax,0.8
210,2013,"Love v. Universal Music Group, Inc.",Bloodstone,I'm Doing My Job,complainer,Bloodstone,I'm Just Doing My Job,0.8
211,2014,"Francescatti v. Germanotta [""Lady Gaga""]",Rebecca Francescatti,Juda,complainer,Lady Gaga,Judas,0.95
212,2014,"Pringle v. Adams [""Black Eyed Peas""]",Brian Pringle,Take a Drive,complainer,The Black Eyed Peas,I Gotta Feeling,0.9
213,2014,Steward v. Kanye West,David Pryor,Bumpin' Bus Stop,complainer,Kanye West,Gold Digger,0.8
214,2014,"TufAmerica, Inc. v. Warner Bros Music Corp., et al",Eddie Bo & The Soul Finders,"Hook & Sling, Pt. I",complainer,Eddie Bo,Hook and Sling - Part I,0.9
215,2014,Mayimba Music v. Sony,Ramon Arias Vasquez,Loca con su Tiguere,complainer,Shakira,Loca,0.95
216,2014,Paul Batiste v. Faheem Rasheed Najm,Paul Batiste,I Like Your Way; Blues Man,complainer,Paul Batiste,I Like Your Way,0.6
217,2014,Musikverlag Richard Birnbach v. ZDF,"Klaus Wüsthoff, Hans Günter Wagener",Fanfaren-Blues,complainer,Klaus Wüsthoff,Fanfaren-Blues,0.8
218,2015,Lane v. Knowles-Carter,Ahmad Javon Lane,X.O.X.O.,complainer,Beyoncé,XO,0.9
219,2015,"New Old Music v. Gottwald, et al.",Lenny Lee Goldsmith,Zimba ku,complainer,Pitbull,Timber,0.8
220,2015,"Devin Copeland v. Justin Bieber, et al.",Devin Copeland,Someone to Love,complainer,Justin Bieber,Somebody to Love,0.9
221,2015,"TufAmerica v. Diamond, et al.",Trouble Funk [band],Say What; Drop the Bomb,complainer,Beastie Boys,Say What,0.8
222,2015,"Miles Floyd v. Rod Stewart, et al.","American folk song, as performed by Bo Carter",Corrine Corrina,complainer,Rod Stewart,"Corrina, Corrina",0.85
223,2015,"Daniel Marino v. Usher, et al.",Daniel Marino,,complainer,Usher,Bad Girl,0.8
224,2015,Tom Petty v. Sam Smith,Tom Petty and Jeff Lynne,I Won't Back Down,complainer,Tom Petty,I Won't Back Down,1.0
225,2015,Richard Friedman v. Hans Zimmer,Richard Friedman,To Our Fallen,complainer,Hans Zimmer,To Our Fallen,0.6
226,2015,Dark Sanctuary v. Bushido,Dark Sanctuary,Les Memoires Blessées,complainer,Bushido,Janine,0.9
227,2015,Johnson v. Goldman,Jefferson/Jean-François Johnson,Forever,complainer,Drake,Forever,0.85
228,2015,"Guzman v. Hacienda Records, et al.",Jose Guzman,"Triste Adventura, alternatively known as Cartas de Amor",complainer,Jose Guzman,Triste Aventura,0.8
229,2015,Universal Music Publishing v. Sony BMG Music Entertainment,Enrico Riccardi and Luigi Albertelli,Zingara,complainer,Bobby Solo,Zingara,0.85
230,2016,Fahmy v. Jay Z et al.,Baligh Hamdi,"Khosara, Khosara",complainer,Jay-Z,Big Pimpin',0.95
231,2016,Bowen v. Paisley,Amy Bowen,Remind Me,complainer,Brad Paisley with Carrie Underwood,Remind Me,0.9
232,2016,"VMG Salsoul v Madonna Ciccone, et al.","Vincent Montana, Richard Pettibone",Chicago Bus Stop,complainer,Salsoul Orchestra,"Chicago Bus Stop (Ooh, I Love It)",0.95
233,2016,"McDonald v. West, et al.",Joel McDonald,Made in America,complainer,"Kanye West, Jay-Z, Frank Ocean",Made in America,0.95
234,2016,We Shall Overcome Foundation v. Richmond Foundation & Ludlow Music,African-American Spiritual,We Shall Overcome,complainer,Pete Seeger,We Shall Overcome,0.75
235,2016,"Alisa Apps v. Universal Music, et al.",Alisa Apps,Need to Know,complainer,Alisa Apps,Need to Know,0.8
236,2016,Arnett v. Alan Jackson & Sony Music,Timothy Arnett,Remember Me,complainer,Alan Jackson,Remember When,0.7
237,2016,"BMG v. Atlantic Recording Organization, et al.","Joseph Bereal, et al.",Came to Do,complainer,Chris Brown,Came To Do,0.95
238,2016,"Eric Smith, et al. v. Amanda Jiroux, et al.","Eric  Smith, et al.",No Rain,complainer,Blind Melon,No Rain,0.95
239,2016,"Gabor Presser v. Kanye West, et al.",Gabor Presser & Anna Adamis,Gyongyhaju Lany,complainer,Omega,Gyöngyhajú lány,0.95
240,2016,"Mattie Music Group v. Lamar, Warner/Chappell, et al.","Bill Withers, et al.",Don't You Want to Stay,complainer,Jason Aldean and Kelly Clarkson,Don't You Wanna Stay,0.7
241,2016,"McElroy, et al. v. Eriksen, et al.","Thomas McElroy, Denzil Delano, Jay King",Why You Treat Me So Bad,complainer,Club Nouveau,Why You Treat Me So Bad,0.95
242,2016,"Songs Music Publishing v. Porsche, et al.",Members of  the band “X Ambassadors”,Jungle,complainer,X Ambassadors,Jungle,0.95
243,2016,"Yours, Mine & Ours v. Sony, et al.",Members of  “electro-funk” band Collage,Young Girls,complainer,Bruno Mars,Young Girls,0.9
244,2016,"Estate of Armetia Chatmon v. Eric Clapton, et al.",Public domain blues number performed by Bo Carter (Chatmon),"Corrine, Corrina",complainer,Eric Clapton,Alberta,0.7
245,2016,"Miller, et al. dba “Sleigh Bells” v. Demi Lovato",“Sleigh Bells” [band],Infinity Guitars,complainer,Sleigh Bells,Infinity Guitars,0.95
246,2016,"Greggs v. Grande, et al.",Alex Greggs,Takes All Night,complainer,Ariana Grande,One Last Time,0.85
247,2016,"HaloSongs, Inc., Martin Harrington, Thomas Leonard v. Ed Sheeran, et al.",Martin Harrington & Thomas Leonard,Amazing,complainer,Matt Cardle,Amazing,0.95
248,2016,"Darlene Love v. Scripps Network, Inc.","Jeff Barry, et al.",Christmas (Baby Please Come Home),complainer,Darlene Love,Christmas (Baby Please Come Home),0.95
249,2016,"Casey Dienel v. Justin Bieber, et al.",Casey Dienel,Ring the Bell,complainer,Justin Bieber,Sorry,0.95
250,2016,"Cirque du Soleil v. Justin Timberlake, et al.",Cirque du Soleil,Steel Dream,complainer,Justin Timberlake,Don't Hold the Wall,0.9
251,2016,"PK Music v. Justin Timberlake, et al.",Perry Kibble,A New Day is Here at Last,complainer,Justin Timberlake,Suit & Tie,0.9
252,2016,Feriol v. Maurici,Laurent Feriol,Les Chansons d’artiste,complainer,Laurent Feriol,Les Chansons d’artiste,0.9
253,2017,"Parker, et al. v. Winwood, et al.",Willia Dean Parker & Homer Banks,Ain't That a Lot of Loving,complainer,Taj Mahal,Ain't That a Lot of Love,0.85
254,2017,Roberts v. Gordy,"Wiliam Roberts, Andrew Harr, Jermaine Jackson",Hustlin,complainer,Rick Ross,Hustlin',0.95
255,2017,Mitchell v. Priority Records,Leroy Mitchell,Star in the Ghetto,complainer,Luther Ingram,To the Other Man,0.7
256,2017,Abdul Muhammad v. Chancellor Bennett,Abdul Muhammad (Erik Saunders),Bridge Through Time,complainer,Chance the Rapper,All We Got,0.8
257,2017,"Lastrada Entertainment v. Mark Ronson, et al.",Roger Troutman,More Bounce to the Ounce,complainer,Mark Ronson feat. Bruno Mars,Uptown Funk,0.95
258,2017,"Enclosed Music v. Steinman, et al.","Jon Dunmore, Mike Molina",[I’d do] Anything for You,complainer,Meat Loaf,I'd Do Anything for Love (But I Won't Do That),0.7
259,2017,"Sean Hall, et al. v. Taylor Swift, et al.",Sean Hall,Playas Gon’ Play,complainer,3LW,Playas Gon' Play,0.95
260,2017,"Estate of Barre v. Beyoncé Knowles Carter, Sony Music, et al.",Anthony Barre aka “Messy Mya”,Booking the Hoes from New Wildings; A 27 Piece Huh?,complainer,Beyoncé,Formation,0.95
261,2017,"Golden Crown Publishing v. Sony Music, Jonathan Smithy [aka “Lil’ Jon”], et al.","Fredley Saurel [aka “Freddy GZ”], et al.",Turn Down for What?,complainer,DJ Snake & Lil Jon,Turn Down for What,0.95
262,2017,"Bosh v. Univision Communications, Inc.",Joel Bosh,Yo Soy Boricua,complainer,Joel Bosh,Yo Soy Boricua,0.85
263,2017,Super Cassettes v. Trimurti Films,Kishore Kumar & Asha Bhosle,Kehdoon Tumhe,complainer,Kishore Kumar & Asha Bhosle,Kehdoon Tumhe,0.95
264,2017,"Stone et al. v. TIG7 Publishing, LLC et al.",The Sequence,Funk You Up,complainer,The Sequence,Funk You Up,0.95
265,2018,"Paul Rose v. Paul David Hewson, aka “Bono”, et al.",Paul Rose,Nae Slappin',complainer,U2,The Fly,0.7
266,2018,"Abiodun Oyewole v. Rita Ora, et al.",Abiodun Oyewole,When the Revolution Comes,complainer,The Last Poets,When the Revolution Comes,0.95
267,2018,"Wilson v. Dynatone Pub., et al.","John Wilson, Charles Still, Terrance Stubbs",Sho' Nuff,complainer,"Sly, Slick & Wicked",Sho' Nuff,0.8
268,2018,"Cortes-Ramos v. Enrique Martin-Morales (""Ricky Martin"")",Luis Cortes-Ramos,World Cup Song Contest Entry,complainer,Ricky Martin,La Copa de la Vida,0.8
269,2018,"Fahmy v. Jay Z, et al.",Baligh Hamdi,"Khosara, Khosara",complainer,Jay-Z,Big Pimpin',0.95
270,2018,"Pharrell Williams, et al. v. Frankie Gaye, et al.",Marvin Gaye,Got to Give it Up,complainer,Marvin Gaye,Got to Give It Up,1.0
271,2018,"Lela Weems v. Odd Future Records, et al.",Herman Weems,Why Can't There Be Love,complainer,Dee Edwards,Why Can't There Be Love,0.85
272,2018,"Michael May v. Miley Ray Cyrus, et al.",Michael May,We Run Things,complainer,Miley Cyrus,We Can't Stop,0.9
273,2018,[INPLAY] Platinum Jack Entertainment v. ESPN and Chick-Fil-A,Drayter [Band],Best I Had,complainer,Drayter,Best I Had,0.9
274,2018,Carey v. Sheeran,"Sean Carey, Beau Golden, Jasmine Rae",When I Found You,complainer,Jasmine Rae,When I Found You,0.95
275,2018,"Del Rio v. Virgin America, et al.",Neomi Del Rio,Flight Safety Video,complainer,Virgin America,Flight Safety Video,0.7
276,2018,"Jamie Ciero v. Disney, et al.",Jamie Ciero,Volar,complainer,Jamie Ciero,Volar,0.9
277,2018,Tracy Chapman v. Nicki Minaj,Tracy Chapman,Baby Can I Hold You,complainer,Tracy Chapman,Baby Can I Hold You,0.95
278,2018,"[INPLAY] Brighter Sky Productions LLC, et al. v. Marriott International, Inc., et al.","Dan Tramon, Diana Belkowski, and Carl Anthony Tramon",Rocket Boys Musical,complainer,Elton John,Rocket Man,0.5
279,2018,"Benny Mardones, et al. v. Cyndi Lauper, et al.",Benny Mardones & Robert Tepper,Into the Night,complainer,Benny Mardones,Into the Night,0.95
280,2018,"Richard Morrill v. Gwen Stefani, Pharrell Williams, et al.",Richard Morrill,Who's Got My Lightah (1996) / Who's Got My Lighter (2009),complainer,Gwen Stefani,Spark the Fire,0.8
281,2018,Stahlgewitter v. Frei.Wild,Stahlgewitter,Auftrag Deutsches Reich,complainer,Stahlgewitter,Auftrag Deutsches Reich,0.95
282,2018,Harumaki Gohan v. Mori,Harumaki Gohan,Hachigatsu no Rainy [August Rainy],complainer,Harumaki Gohan,Hachigatsu no Rainy,0.95
283,2019,Eight Mile Style v. New Zealand National Party,"Marshall Mathers, et al.",Lose Yourself,complainer,Eminem,Lose Yourself,0.99
284,2019,The Rolling Stones v. The Verve,The Rolling Stones,The Last Time,complainer,The Rolling Stones,The Last Time,0.95
285,2019,"Andrew Green v. Kanye West, et al.",Alice T. Johnson and N.G (minor child),Video Recording of child praying,complainer,Kanye West,Ultralight Beam,0.8
286,2019,"William Smith et al. v. ""The Weeknd""","William Smith, Brian Clover, Scott McCulloch",I Need to Love,complainer,The Weeknd,A Lonely Night,0.7
287,2019,"Song-a-tron Music, et al. v. Jones, et al.",Song-A-Tron Music,Back it Up,complainer,Prince Royce,Back It Up,0.7
288,2019,[INPLAY] Hütter v. Pelha,Kraftwerk,Metall auf Metall,complainer,Kraftwerk,Metall auf Metall,0.95
289,2019,Mimi Korman v. Julio Iglesias,Mimi Korman,Me Olvide de Vivir,complainer,Julio Iglesias,Me Olvidé de Vivir,0.95
290,2019,"Rodriguez v. Avalos, et al.",Esmeralda Lucy Rodriguez,Pediré,complainer,Olga Tañón,Pediré,0.8
291,2019,"[INPLAY] Nicholas v. Pigott, et al.","Samuel Nicholas III (""Sam Scully"")",Roll Call (Instrumental),complainer,Slim Thug,Still Tippin',0.8
292,2019,"[INPLAY] Brandon Lee (""Don Lee""), et al. v. Hill (""Lil Nas X""), et al.","Brandon Lee (""Don Lee"") & Glen Demeritt",gwenXdonlee4-142,complainer,Lil Nas X,Old Town Road,0.9
293,2019,Zachry Brown v. Ryan Tedder,Zachry Brown,Nowhere Left to Go,complainer,OneRepublic,Wherever I Go,0.85
294,2019,"Mark Halper v. Sony/ATV Music Publishing, LLC, et al.",Mark Halper,Don't Throw Our Love Away,complainer,Mark Halper,Don't Throw Our Love Away,0.8
295,2019,New Day Worldwide v. Taylor Swift,Jesse Graham,Haters gone Hate,complainer,Taylor Swift,Shake It Off,0.95
296,2019,"[INPLAY] Key, et al. (""Yellowcard"") v. Higgins, et al. (""Juice WRLD"")","Ryan Key, et al. (""Yellowcard"")",Holly Wood Died,complainer,Yellowcard,Holly Wood Died,0.95
297,2019,Brown v. Netflix,"Tamita Brown, et al.",Fish Sticks n' Tater Tots (song),complainer,Tamita Brown,Fish Sticks n' Tater Tots,0.8
298,2019,Guity v. Santos,Nazim Guity,Eres Mia,complainer,Romeo Santos,Eres Mía,0.95
299,2019,"Pickett v. Migos Touring, Inc., et al.","Leander C. Pickett (""M.O.S."")",Walk It Like I Talk It,complainer,Migos feat. Drake,Walk It Talk It,0.95
300,2019,Stone v. Dudley,Sharon Stone,,complainer,nan,nan,0.0
301,2019,"Batiste v. Lewis, et al.",Paul Batiste,Hip Jazz; World of Blues; Salsa 4 Elise; I Got the Rhythm On,complainer,Paul Batiste,I Got the Rhythm On,0.8
302,2019,[INPLAY] Richardson v. Kharbouch,Eddie Lee Richardson aka Hotwire the Producer,*Hood* Pushin’ Weight,complainer,French Montana,Pushin' Weight,0.7
303,2019,Hines v. Roc-A-Fella Records Inc. et al.,Ernie Hines,Help Me Put Out The Flame (In My Heart),complainer,Kanye West,Good Life,0.8
304,2019,"Jefferson v. Raisen, et al.","Melissa Jefferson (""Lizzo"")",Truth Hurts,complainer,Lizzo,Truth Hurts,1.0
305,2019,Saregama India v. Balaji,Dada Kondke,Var Dhagala Lagli Kal,complainer,Dada Kondke,Var Dhagala Lagli Kal,0.95
306,2020,Estate of James Oscar Smith v. Cash Money Records,Jimmy Smith,Jimmy Smith Rap,complainer,Drake,Pound Cake / Paris Morton Music 2,0.95
307,2020,"Yeasayer v. Tesfaye (""The Weeknd"")","Yeasayer, LLC",Sunrise,complainer,Yeasayer,Sunrise,0.9
308,2020,Michael Skidmore v. Led Zeppelin,Randy Wolfe,Taurus,complainer,Led Zeppelin,Stairway to Heaven,0.95
309,2020,"Marcus Gray, et al. v. Katy Perry","Marcus Gray, et al.",Joyful Noise,complainer,Flame,Joyful Noise,0.95
310,2020,[INPLAY] Armes v. Post,Tyler Armes,Circles,complainer,Post Malone,Circles,0.95
311,2020,[INPLAY] Gordon v. Chambers,"Seth Gordon (""Yung Gordon"")",Yung Gordon Intro,complainer,Yung Gordon,Yung Gordon Intro,0.95
312,2020,"[INPLAY] Griffin v. Sheeran, et al.",Marvin Gaye,Let's Get It On,complainer,Marvin Gaye,Let's Get It On,0.95
313,2020,"[INPLAY] Jackson v. Apple, Inc.",Darell Jackson,Side Show,complainer,Khia,"My Neck, My Back (Lick It)",0.8
314,2020,[INPLAY] Basil v. AMC,Toni Basil,Mickey,complainer,Toni Basil,Mickey,0.95
315,2020,"[INPLAY] Stines v. Knowles, et. al.",,,complainer,,,0.0
316,2020,"Jackson (""50 Cent"") v. Roberts","Curtis James Jackson (""50 Cent"")",In Da Club,complainer,50 Cent,In Da Club,0.99
317,2020,[INPLAY] Hayes v. Lamar,Terrance Hayes,,complainer,Kendrick Lamar,Fear,0.2
318,2020,Stone v. Grande,Josh Stone,"You Need It, I Got It",complainer,Ariana Grande,7 rings,0.9
319,2020,Sheeran v. Chokri,Sam Chokri,Oh Why,complainer,Sam Chokri,Oh Why,0.9
320,2020,Structured Asset Sales v. Sheeran,Marvin Gaye,Let's Get It On,complainer,Marvin Gaye,Let's Get It On,0.95
321,2020,"Norwood v. Quality Control Music, LLC",Barbara Norwood,Martian,complainer,Lil Baby,We Paid,0.7
322,2021,"Nwosuocha v. Glover, et al.",Emelike Nwosuocha,Made in America,complainer,Childish Gambino,This is America,0.9
323,2021,"[INPLAY] Cooper, et al. v. Brown, et al.",Mr. Cooper,I Love Your Dress,complainer,Mr. Cooper,I Love Your Dress,0.8
324,2021,"[INPLAY] Cates v. Shlemovitz, et al.",Cameron Cates,She Loves Her Job,complainer,Alan Jackson,She Loves Me All The Way,0.7
325,2021,Robinson v. Wilburn,Gutta,When U Think About It,complainer,Michael Jackson,You Rock My World,0.4
326,2021,Johannsongs-Publishing Ltd. v. Lovland,Jóhann Helgason,Söknuður,complainer,Secret Garden,You Raise Me Up,0.8
327,2021,[InPlay] Cleveland Constantine Browne et al. v. Rodney Sebastian Clark Donalds et al.,Cleveland Browne & Wycliffe Johnson,Fish Market,complainer,Rupee,Tempted to Touch,0.8
328,2021,"AOM Music, Inc v. Benito Antonio Martínez Ocasio (p/k/a Bad Bunny)","AOM Music, Inc.",Playero Works,complainer,Bad Bunny,Playero,0.85
329,2022,[INPLAY] Ultra v. West,Marshall Jefferson,Move Your Body,complainer,Marshall Jefferson,Move Your Body,0.95
330,2022,Frisby v. Sony,G-Money,Shawty So Cold,complainer,G-Money,Shawty So Cold,0.8
331,2022,"Cope v. Dua Lipa, et al",Artikel Sound,Live Your Life,complainer,Dua Lipa,Levitating,0.95
332,2022,[InPlay} Quinn et al v. Powell et al.,"Darwin Quinn, Mitchelle'l Sium,",Back N Forth,complainer,Aaliyah,Back & Forth,0.8
333,2022,[InPlay] Larball Publ'g Co. v. Lipa,"Russell Brown, Sandy Linzer",Wiggle and Giggle All Night,complainer,Dua Lipa,Levitating,0.95
334,2022,[InPlay] Phase One Network v. Kanye West,"Lawrence Parker, Scott Sterling",South Bronx,complainer,Boogie Down Productions,South Bronx,0.95
335,2022,Moten v. Def Jam,Bishop David Paul Moten,Unspecified Sermon,complainer,,,0.0
336,2022,Patrick v. Poree,Yolanda Patrick,I Do What I Want,complainer,Yolanda Patrick,I Do What I Want,0.9
337,2022,Grigson v. Lopez,Daniel Grigson,That Girl,complainer,Frankie J,That Girl,0.7
338,2022,Sound & Color v. Sam Smith,"Jordan Vincent, Christopher Miranda",Dancing with Strangers,complainer,Sam Smith,Dancing with a Stranger,0.95
339,2022,[InPlay] Third Side Music v. Evenflo Co.,Sofi Tukker,Best Friend,complainer,Sofi Tukker,Best Friend,0.95
340,2023,Astley v. Hauri,Rick Astley,Never Gonna Give You Up,complainer,Rick Astley,Never Gonna Give You Up,1.0
341,2023,Stone v. Carey,"Andy Stone, AKA Vinnie Vance",All I Want for Christmas is You,complainer,Mariah Carey,All I Want for Christmas Is You,0.95
342,2023,[InPlay] Formal Entertainment v. Zayn Malik,"Patrick Simmons p/k/a ""Havyn""",Somebody Tonight,complainer,Zayn,Somebody Tonight,0.8
343,2023,"[InPlay] Darko v. Grahm, et al.",Obrafour,Oye Ohene,complainer,Obrafour,Oye Ohene,0.9
344,2023,"[InPlay] Concord Music Group, et al. v. Anthropic PBC","Concord Music, Universal Music Group and ABKCO Music",,complainer,,Unknown,0.5
345,2024,Chamberlain v. Dolo Entertainment,Duvall Chamberlain,In That Mood,complainer,Lil Rekk,In That Mood,0.85
346,2024,"Peabody & Company LLC v. Wayne, et al.",Greg Perry,Come On Down,complainer,Greg Perry,Come On Down,0.9
347,2024,"Johnston v. Kroeger, et al.",Snowblind,Rockstar,complainer,Nickelback,Rockstar,0.9
0,1844,Millett v. Snowden,W. J. Wetmore,The Cot Beneath the Hill,defendant,W. J. Wetmore,The Cot Beneath the Hill,0.7
1,1845,Reed v. Carusi,Samuel Carusi,The Old Arm Chair,defendant,Eliza Cook,The Old Arm Chair,0.8
2,1846,Ferrett v. Atwill,,,defendant,N/A,N/A,0.0
3,1850,Jollie v. Jacques,Anonymous,Serious Family Polka,defendant,Anonymous,Serious Family Polka,0.5
4,1887,Blume v. Spear,W.D.Hendrickson,Call Me Back Again,defendant,Traditional,Call Me Back Again,0.5
5,1888,Kennedy v. McTammanay,,,defendant,Unknown,Unknown,0.0
6,1898,Broder v. Zeno Mauvais Music Co.,Charles Sidney O'Brien,Ma Angeline,defendant,Charles K. Harris,Ma Angeline,0.75
7,1899,Boosey v. Whight,Player piano rolls produced by defendant Whight,,defendant,Various,Player Piano Rolls,0.25
8,1907,White-Smith Music v. Apollo Company,Adam Geibel,Little Cotton Dolly,defendant,Adam Geibel,Little Cotton Dolly,0.8
9,1914,Cooper v. James,Joseph James,Never Turn Back,defendant,Wilbur Sweatman,Never Turn Back,0.7
10,1915,Boosey v. Empire Music,Jeff Godfrey,"Tennessee, I Hear You Calling Me",defendant,Jeff Godfrey,"Tennessee, I Hear You Calling Me",0.7
11,1916,Haas v. Leo Feist,Al Piantadosi,I Didn't Raise My Boy to be a Soldier,defendant,Al Piantadosi,I Didn't Raise My Boy to be a Soldier,0.95
12,1917,Hart v. Graham,,,defendant,,,0.0
13,1923,Austin v. Columbia Gramophone Co.,John Gay,"Themes from opera ""Polly""",defendant,John Gay,Polly,0.9
14,1923,Hein v. Harris,Joseph Howard,I Think I Hear a Woodpecker,defendant,Joseph E. Howard,I Think I Hear a Woodpecker,0.9
15,1923,"Marks v. Leo Feist, Inc.",H. Pitman Clarke,Swanee River Moon,defendant,H. Pitman Clarke,Swanee River Moon,0.8
16,1924,"Fred Fisher, Inc. v. Dillingham",Jerome Kern,Ka-lu-a,defendant,Jerome Kern,Ka-lu-a,0.9
17,1928,Italian Book Company v. Rossi,A. A.Galasso,Mamma Mia M'ha Maritan,defendant,Beniamino Gigli,"Mamma mia, che vo' sapé?",0.6
18,1932,Gotham Music v. Denton Music Publishing,Anonymous,St. James' Infirmary or Gambler's Blues,defendant,Louis Armstrong,St. James Infirmary Blues,0.8
19,1933,Arnstein v. Shilkret,Nathaniel Shilkret,Lady Divine,defendant,Nathaniel Shilkret,Lady Divine,0.8
20,1934,Park v. Warner Brothers,"Harry Warren, Al Dubin",What are Your Intentions?,defendant,Harry Warren & Al Dubin,What Are Your Intentions?,0.75
21,1935,Wilkie v. Santly Brothers,Bernice Petkere,Starlight,defendant,Jeff Beal featuring Bernice Petkere,Close Your Eyes,0.6
22,1936,Arnstein v. Edward Marks,Emery Deutsch and Arthur Altman,"Play, Fiddle, Play",defendant,Emery Deutsch and Arthur Altman,"Play, Fiddle, Play",0.9
23,1936,Norden v. Oliver Ditson,Anonymous arranger,O Gladsome Light,defendant,Anonymous,O Gladsome Light,0.8
24,1937,Hirsch v. Paramount Pictures,Harry Revel,Without a Word of Warning,defendant,Bing Crosby,Without a Word of Warning,0.8
25,1939,Arnstein v. ASCAP,Joe Burke,My Wishing Song,defendant,Joe Burke,My Wishing Song,0.85
26,1940,Darrell v. Joe Morris Music,"Sherman, Meskill, and Silver",On the Beach at Bali-Bali,defendant,Tommy Dorsey,On the Beach at Bali Bali,0.8
27,1940,Davilla v. Harms,Sigmund Romberg,Desert Song,defendant,Sigmund Romberg,The Desert Song,0.85
28,1941,Allen v. Walt Disney,Frank Churchill,Someday My Prince Will Come,defendant,Adriana Caselotti,Someday My Prince Will Come,0.95
29,1941,Marks v. Stasny,Anonymous,Allà en el Rancho Grande,defendant,Jorge Negrete,Allá en el Rancho Grande,0.8
30,1942,Carew v. R.K.O. Radio Pictures,Jerome Brainan,Chatterbox,defendant,Jerome Brainin,Chatterbox,0.7
31,1942,McMahon v. Harms,John Openshaw,Love Sends A Little Gift of Roses,defendant,John Openshaw,Love Sends a Little Gift of Roses,0.9
32,1943,Arnstein v. Broadcast Music,Hy Zaret et al.,It All Comes Back to Me Now,defendant,Gene Austin,It All Comes Back to Me Now,0.7
33,1943,Arnstein v. Twentieth Century Fox,Harry Warren,I've Got a Gal in Kalamazoo,defendant,Glenn Miller and His Orchestra,(I've Got a Gal in) Kalamazoo,0.95
34,1944,"Gingg v. Twentieth Century Fox Film Corp, et al.",Mack Gordon and Harry Warren,There Will Never Be Another You,defendant,Nat King Cole,There Will Never Be Another You,0.85
35,1944,Edward B. Marks Music Corp. v. Jerry Vogel Music Co.,,,defendant,Unknown,Unknown,0.0
36,1945,Brodsky v. Universal Pictures Company,Hans Salter,Bad Lands of Dakota,defendant,Hans J. Salter,Badlands of Dakota,0.8
37,1945,Jewel Music v. Leo Feist,Roger Edens,Drummer Boy,defendant,Roger Edens,The Little Drummer Boy,0.6
38,1946,Arnstein v. Porter,Cole Porter,Don't Fence Me In,defendant,Bing Crosby and The Andrews Sisters,Don't Fence Me In,0.8
39,1946,Heim v. Universal Pictures,Aldo Franchetti,Perhaps,defendant,Vera Lynn,Perhaps,0.6
40,1948,Baron v. Leo Feist,Jeri Sullivan and Paul Baron,Rum and Coca-Cola,defendant,The Andrews Sisters,Rum and Coca-Cola,0.95
41,1948,Kahn v. Leo Feist,Leo Feist,Rum and Coca-Cola,defendant,The Andrews Sisters,Rum and Coca-Cola,0.95
42,1950,"Shapiro, Bernstein v. Miracle Record",Alphonso Tompkins and Lewis Simpkins,Long Gone,defendant,Sonny Thompson,Long Gone,0.85
43,1951,Jones v. Supreme Music,Francis Craig,Near You,defendant,Francis Craig,Near You,0.95
44,1952,Northern Music v. King Record Distribution,Henry B. Glover,"I Love You, Yes I Do",defendant,Bull Moose Jackson,I Love You Yes I Do,0.9
45,1953,Overman v. Loesser,Frank Loesser,On a Slow Boat to China,defendant,Frank Loesser,On a Slow Boat to China,0.95
46,1954,Robbins v. Alamo,Miklos Rozsa,"Theme for 1946 movie, ""The Killers""",defendant,Miklós Rózsa,The Killers (1946 film score),0.95
47,1954,Mills Music v. Cromwell Music,Issachar Miron & Julius Grossman,"Tzena, Tzena",defendant,The Weavers,"Tzena, Tzena, Tzena",0.95
48,1956,Robertson v. Batten,"Song Ads, Inc.",Ad for San Francisco Brewing Company,defendant,Andrews Sisters,Rum and Coca-Cola,0.6
49,1956,Smith v. Muehlebach Brewing,Muehlebach Brewing,Time for Muehlebach,defendant,Unknown Artist,Time for Muehlebach,0.2
50,1956,Wihtol v. Wells,Kenneth H. Wells,My God and I,defendant,Don Cornell,My God and I,0.6
51,1958,Cholvin v. B & F Music,Kaczmarek,While We Dream,defendant,The Crests,16 Candles,0.8
52,1959,Dorchester Music v. National Broadcasting Company,Charles Green,I Dreamed,defendant,Charles Green,I Dreamed,0.8
53,1960,Walters v. Shari Music Publishing,Erving Burgie,Jamaica Farewell,defendant,Harry Belafonte,Jamaica Farewell,0.95
54,1963,Francis Day & Hunter v. Bron,Peter de Angelis,Why,defendant,Frankie Avalon,Why,0.9
55,1964,Irving Berlin et al. v. E.C. Publications,Frank Jacobs and Larry Siegel,Louella Schwartz Describes Her Malady,defendant,Mad Magazine (parody),Lorelei (Parody Version: Louella Schwartz Describes Her Malady),0.7
56,1964,"Nom Music, Inc. V. Kaslin",James Sheppard and William Miller,Daddy's Home,defendant,Shep and the Limelites,Daddy's Home,0.95
57,1965,Life Music v. Broadcast Music,Robert Sherman,SUPERCALIFRAGILISTIC EXPIALIDOCIOUS,defendant,Julie Andrews and Dick Van Dyke,Supercalifragilisticexpialidocious,0.95
