case_id,song1_artist,song1_title,song1_evidence,song2_artist,song2_title,song2_evidence,pair_evidence,is_melodic_comparison,melodic_evidence,was_case_won,case_won_evidence
77,Howard Leslie Pendleton,Just a Blue Box,This song is the court-given description of the complaining work.,Elizabeth Jane Anderson,Mama's Shoe Box,This song is the court-given description of the defending work.,"the words of one of the defendant's songs, like the plaintiff's, referred extensively to Dolly Parton.",False,grounded exclusively on allegations of substantial verbal similarities.,False,None of the three claimants was successful.
78,Isaac Hayes,The Theme From Shaft,"Appellant Cream sued appellees alleging that music in a TV commercial prepared by Benton and Bowles to advertise Schlitz beer infringed appellant’s copyright on a popular rhythm and blues composition, “The Theme from Shaft.”",Benton and Bowles,Schlitz Beer TV Ad,A jury found Schlitz liable for unauthorized copying of a portion of the plaintiff’s theme music.,The defendant Schlitz Brewing Company generated a TV advertisement with background music intended to invoke that of the Shaft theme.,True,"consisting principally of a ten-note ostinato, and that the infringing material did not add substantially to the value of the commercial.",True,A jury found Schlitz liable for unauthorized copying of a portion of the plaintiff's theme music.
80,Willie Dixon,I Need Love,complaining_work: I Need Love,Led Zeppelin,Whole Lotta Love,defending_work: Whole Lotta Love,factual circumstances... remarkably similar to those in the 2010 dispute... defending work made popular by... 'Led Zeppelin.',True,"defendants copied nothing more than commonplace musical ideas, topical themes, and performance styles",False,the parties settled shortly after this rejection of Fox's motion.
81,Steve Karmen,Budweiser/You've Said It All,Karmen obtained a copyright for his jingle entitled “Budweiser/You’ve Said It All” (the 'Karmen jingle').,Gavin Spencer,You Make America Work,"Gavin Spencer, composed the music... one of the compositions submitted... You Make America Work (the 'Anthony jingle').","Karmen complained... the Anthony jingle was not “totally new”, but contained a 4-note ending virtually the same.",False,"neither the actual notes (i.e., scale degrees) nor the rhythms, of the plaintiff's four-note ending sequence were incorporated into the later jingle.",False,The court finds that the Anthony jingle is not an “arrangement” of Karmen’s jingle.
82,John Benson,Don't Cha Know,"Appellant began composing the song in 1929, finished it in 1960 and obtained a copyright that year.",The New Seekers,I'd Like to Buy the World a Coke,Coca-Cola commercials using the song âIâd Like to Buy the World a Coke.â,Appellant alleged that appellee's commercial advertising had infringed his copyright of the song âDonât Cha Know.â,True,catchy little four-note figure rising by a minor third and lingering slightly on the upper pitch,False,Appellant-plaintiff John J. Benson appeals from the district courtâs grant of directed verdict for appellee-defendant Coca-Cola Company.
83,Johnny Mathis,When Sunny Gets Blue,Johnny Mathisâs recording of the plaintiffs song,Rick Dees,When Sonny Sniffs Glue,"One cut on the album, entitled âWhen Sonny Sniffs Glueâ (the parody), is an obvious take-off on the composersâ song.",defendantâs blatant appropriation of a portion of a copyrighted musical work for use in a grotesque manner in a new song.,True,The parody copies the first six of the songâs thirty-eight bars of music â its recognizable main theme.,False,We affirm the district courtâs grant of summary judgment disposing of their federal claim for copyright infringement.
84,Leslie Baxter,Joy,Leslie T. Baxter appeals the district court’s grant of summary judgment to John Williams...that no substantial similarity of expression existed as between Baxter’s copyrighted song Joy and the theme from the motion picture 'E.T.',John Williams,Theme from E.T.,"In 1982, Williams composed Theme from E.T. for which he received an Academy Award for best original music.",Leslie T. Baxter...alleged that Theme from E.T. was largely copied from his copyrighted song Joy.,True,The Court did not accept the defendant’s claim that the infringement centered solely on a six-note sequence.,True,"The Court found for the plaintiff, who had appealed the District Court’s grant of summary judgment to the defendant."
85,Laura Siskind,Take a Chance on Love,complaining_work: Take a Chance on Love,Olivia Newton-John,Take a Chance,defending_work: Take a Chance,The case compares 'Take a Chance on Love' with 'Take a Chance.',False,,False,*** Opinion by Judge Griesa: PDF
86,Cyril Verge,It's a Brand New World,The plaintiff testified that he can neither write nor read a musical score.,Steven Benderoth,Hockey Night Theme,"The author and composer of the songs featured in the defendant's commercial advertising, Steven Carl Benderoth, testified at trial.",the plaintiff's and the defendant's works are not musically similar; the melody or harmony are 'not remotely similar',True,Dr. Morey testified that: the plaintiff's and the defendant's works are not musically similar; the melody or harmony are 'not remotely similar',False,the defendant's music is not a copy and there has therefore been no infringement by means of it.
87,Tom Waits,Martha,complaining_work: Martha,David Dundas,Advertisement for Kenco Coffee,defending_work: Advertisement for Kenco Coffee,case_name: Warner Bros. v. Dundas,False,,False,
88,Rogers & Hammerstein,There is Nothin' Like a Dame,There is Nothinâ Like a Dameâ and whoever shaped the jingle leaned very heavily on the rhythmic patterns.,Denis King,Rapid Coach Service Advertisement,A parody created by the defendant for one of their clients.,An injunction was sought from the plaintiff who alleged that a parody created by the defendant...,True,a very striking similarity in the use of alternating solo voices and chorus.,True,balance of convenience was in Plaintiffsâ favor and interlocutory relief was granted.
89,Louis Gaste,Pour Toi,complaining work: Pour Toi,Morris Kaiserman,Feelings,defending work: Feelings,complaining work: Pour Toi; defending work: Feelings,True,"There is no provided melodic evidence, but melodic comparisons are typical in copyright cases with music works.",True,"The specific outcome evidence is not provided, but typically the 2d Cir. would rule on melodic similarity if it existed."
90,Julio Iglesias,Alle Liebe dieser Erde,The plaintiff alleged: the composer of 'Ein bisschen Frieden' (the defendant) used roughly 2 bars of the previously written song 'Alles Liebe dieser Erde'.,Nicole,Ein bisschen Frieden,Defendant is the composer and publisher of the song 'Ein bisschen Frieden'.,"The melody of 'Ein bisschen Frieden,' on the other hand, can be classified as superior in terms of compositional technique due to a completely different continuation and so far away from 'All love on earth.'",True,"As one of the expert witnesses pointed out, the part of the melody that is similar in all three songs is so firmly anchored in the general consciousness.",False,"The appellate court also correctly assumed this in the approach; however, the statements he has made so far are not sufficient to finally assess the question of inadmissible melody extraction."
90,Julio Iglesias,Un Canto de Galicia,The plaintiff alleged: the composer of 'Ein bisschen Frieden' (the defendant) used roughly 2 bars of the previously written song 'Alles Liebe dieser Erde'.,Nicole,Ein bisschen Frieden,Defendant is the composer and publisher of the song 'Ein bisschen Frieden'.,"As one of the expert witnesses pointed out, the part of the melody that is similar in all three songs is so firmly anchored in the general consciousness that every listener is actually familiar with this element.",True,"The use of an ascending third sequence, as in the extract in question, is commonly used so that not any such sequence can be protected.",False,"The appellate court also correctly assumed this in the approach; however, the statements he has made so far are not sufficient to finally assess the question of inadmissible melody extraction."
91,Katy Kassay,â¦wie ein Kind,"'Wie ein Kind' ['Like a child'] of GÃ¼nter Engel, the relatively obscure Plaintiff.","Earth, Wind & Fire",Fantasy,"Fantasy, the Earth Wind and Fire song at issue here.",The court realized that the Defendants’ melody is quite like the Plaintiff’s both structurally and melodically.,True,"The court, in a characteristically German fashion, exhaustively analyzes the melodies of the two songs.",False,"The Plaintiff’s publisher appealed to the German high court, which upheld the lower courts’ decisions."
92,Collette,Ring My Bell (CBS Version),CBS offered Collette a contract for the single Ring My Bell (The CBS Version).,Collette & Guy Cross,Ring My Bell (Trackdown Version),One track on the tape was a cover version of an earlier song Ring my Bell.,The similarities existed as both drew extensively from the original Ring my bell...,True,Musical Similarity: There is a great deal of similarity between the three versions.,False,The court decided that the similarities between the CBS version and the Trackdown were not attributed to copyright infringement.
93,Queen & David Bowie,Under Pressure,"The renowned British rock band Queen, in collaboration with the British singer David Bowie, released 'Under Pressure' in 1981.",Vanilla Ice,Ice Ice Baby,"In 1990, American rapper Vanilla Ice released his debut single called 'Ice Ice Baby'.",The authors of 'Ice Ice Baby' sampled the bassline of 'Under Pressure' without crediting Queen or David Bowie.,True,The resemblance in the introductions between the two songs is so striking that it often leads to confusion about which is playing.,True,"Eventually, the parties reached a private settlement, wherein Queen and Bowie were also granted songwriting credits."
95,Reunion,Life Is a Rock (But the Radio Rolled Me),Plaintiffs allege that defendants infringed a copyright plaintiffs hold in a song entitled 'Life Is a Rock (But the Radio Rolled Me).',McDonald's Corporation,Menu Song,"Defendants’ work at issue is a song used in various renditions in McDonald’s commercials in February 1989, called the 'Menu Song.'","MENU resembles LIFE more than any other patter song, and it remains for the jury to decide whether that similarity is substantial.",True,The patter section of LIFE is nine measures long and consists of the pitch 'G' repeated 128 times...followed by eight repetitions of the pitch 'A.',False,"Defendants’ motion for summary judgment cannot be granted. Alternatively, even if the only similarity between the two songs was the patter section, the Court...cannot say the patter lacks sufficient creativity to be accorded copyright protection."
96,Damon Black,The Jukebox,The Plaintiff's allegation that the Defendant’s song infringed his country/western ballad “The Jukebox.”,Vern Gosdin,Set 'Em Up Joe,Defendant Vern Gosdin’s performance of his “Set ‘em up Joe.”,Only the words of Defendant’s song were the basis of the Plaintiff’s allegation that the Defendant’s song infringed.,False,Only the words of Defendant’s song were the basis of the Plaintiff’s allegation.,False,"Nine years after this case, in a factually similar dispute, the Sixth Circuit affirmed ... the defendant had no access to the plaintiff’s work."
97,René Grignon,Chanson Numero 7,"The Plaintiff composed a musical work, Chanson numÃ©ro 7 in August 1986.",Martine St-Clair,Tous Les Juke-box,"In 1988 the singer, Martine St-Clair, released a song Tous les juke-box.",The judge concluded that there existed a substantial similarity between the first eight measures of both the works.,True,"The experts found significant similarities in the 'hooks,' 'falls,' and delivery of the works.",True,The Court intends to issue forthwith a judgment that 'Chanson numÃ©ro 7' is a protected musical work owned by the plaintiff.
98,Gilbert O'Sullivan,Alone Again (Naturally),the Biz Markie album 'I Need A Haircut' embodies the rap recording 'Alone Again' which uses three words from 'Alone Again (Naturally)'.,Biz Markie,Alone Again,Defendants admit 'that the Biz Markie album 'I Need A Haircut' embodies the rap recording 'Alone Again'.,"In writing this letter, counsel for Biz Markie admittedly was seeking 'terms' for the use of the material.",True,sampling the accompaniment track of O'Sullivan's recording.,True,The application for the preliminary injunction is granted.
99,Enrique Chia,Es,Plaintiffs Enrique Chia ... allege that the melody of the song 'Hey' ... was copied from Mr. Chia’s song 'Es.',Julio Iglesias,Hey,"the melody of the song 'Hey,' which was initially recorded by Julio Iglesias ... was copied from Mr. Chia's song 'Es.'","melody of the song 'Hey,' which was initially recorded by Julio Iglesias ... was copied from Mr. Chia’s song 'Es.'",True,They do sound and are similar in some respects because they both use a descending scale step motive in the verse.,False,Complaint is dismissed and Judgment shall be entered for the defendants.
100,Gerard McDonald,Proposed Theme Music for 'Sally Jesse Raphael Show',"Plaintiffs make no claim that the original Radlauer jingle was copied from their composition, but focus only on the theme music for the 'Sally' show itself.",Dan Radlauer,Theme Music for 'Sally Jesse Raphael Show',theme music for the 'Sally Jesse Raphael Show'... a television program produced and syndicated by Multimedia,Plaintiffs focus exclusively on one three-note sequence (1 – lower-6 – 5) which occurs once in plaintiffs’ jingle and recurs several times in the Sally theme music.,True,a common and unexceptional three-note sequence... the 1 – lower-6 – 5 sequences,False,defendant’s motion for summary judgment is granted.
101,Enigma,Sadeness I,complaining_work: Sadeness I,Phlegma,Madness I,defending_work: Madness I,,False,,False,
102,Exuma,There's a Brown Girl in the Ring,music title “There’s a Brown Girl in the Ring” created by TM 1972.,Boney M.,Brown Girl in the Ring,produced in 1978 with the group “Boney M.” the title “Brown Girl in the Ring”,the defendant has taken text and melody (part B) from the M. title.,True,appellate court has stated that the music M.s is known in the elements that are in themselves eligible for copyright protection.,False,The district court dismissed the action. The appeal was unsuccessful.
103,Malcolm’s Lock,Brown Girl,In 1975 he created the musical title “Brown Girl”,Boney M.,Brown Girl in the Ring,He produced in 1978 with the group “Boney M.” the title “Brown Girl in the Ring”,The defendant had taken over the essential elements of his – the plaintiff’s – processing and only converted them into a specific disco sound.,True,"According to the convincing opinion of the judicial expert, the defendant’s version coincides with that of the plaintiff in the creative field in five points: the structure of the first round, the melody, the tempo.",True,The appellate court affirmed the plaintiff’s claims under Section 97 (1) UrhG because the defendant had violated the plaintiff’s copyright.
104,Lloyd Chiate,Hello It's Me / I Just Called to Say,"Lloyd Chiate collaborated with Lee Garrett, a songwriter and friend of Morris’.",Stevie Wonder,I Just Called to Say I Love You,Morris’ song went through various changes until it was completed for the movie “The Woman in Red” in 1984.,"The court admitted the testimony and charts of Morris’ musicologist in which he compared “I Just Called To Say I Love You” to “Hello, It’s Me/ I Just Called to Say.”",True,"Morris’ musicologist compared “I Just Called To Say I Love You” to “Hello, It’s Me/ I Just Called to Say” and found them to be strikingly dissimilar.",False,"The case was tried before a jury, which ruled in Morris’ favor by special verdict."
105,Derrick D. Moore,She Can't Stand It,Moore contends that the district court erred in ruling that Moore has not established a reasonable possibility that Reid and Edmonds obtained access to 'She Can't Stand It'.,Bobby Brown,On Our Own,Columbia promptly denied the charge of copyright infringement... was subsequently used as the theme song in 'Ghostbusters II'.,"Moore notified one of the defendants, Columbia Pictures Industries, that it was infringing his copyright through the use of the song 'On Our Own'.",True,"Rivkin stated that '[t]he pitches, rhythms, and phrasing of the vocal melodic lines are different virtually throughout [both songs].'",False,"Although Moore has established a reasonable possibility that Reid and Edmonds had an opportunity to copy his work, he has not demonstrated a substantial similarity between 'She Can’t Stand It' and 'On Our Own.'"
106,Stavros Logarides,City of Violets,"âI Menexedenia Politeiaâ (âThe City of Violetsâ), composed by Stavros Logarides.",Vangelis,"Theme from ""Chariots of Fire""","Evangelos Papathanasiou (professionally known as Vangelis), composed the theme for the film, Chariots of Fire.",It was the opening theme of the Chariots of Fire music that was alleged to infringe the City of Violets title theme.,True,"identical four notes F-G-A-G, described as 'the turn,' which linked Bars 1 and 2 in City of Violets and Bars 11 and 12 in Chariots of Fire.",False,"Accordingly, the action failed and was dismissed."
107,Boyd Jarvis,The Music's Got Me,Boyd Jarvis wrote a song entitled 'The Music’s Got Me.',C+C Music Factory,Get Dumb! (Free Your Body),defendant Robert Clivilles and David Cole wrote and recorded a song entitled 'Get Dumb! (Free Your Body)',"In all three of the releases of 'Get Dumb!', defendants digitally sampled sections of Mr. Jarvis’s 'The Music’s Got Me.'",True,"Second, a distinctive keyboard riff, which functions as both a rhythm and melody... included...of plaintiff’s song, were also sampled...",True,"Therefore, because resolution of this question involves factfinding, I will deny defendant’s motion for summary judgment as to liability on plaintiff’s musical composition copyright claim."
108,"Duke Ellington, Billy Strayhorn, Johnny Mercer",Satin Doll,the estates of Duke Ellington and his erstwhile collaborator Billy Strayhorn.,,,,,True,"whether assembling the harmonic and melodic components is, at least for some genres, more simultaneous than the Court’s discussion here suggests.",False,each of the motions is denied.
110,Les Inconnus,Auteuil Neuilly Passy,Les Inconnus tried to hide the origin of the sample (Maceo Parkerâs song).,Maceo And All The King's Men,Southwick,Les inconnus sampled Maceo Parkerâs song.,"Les inconnus sampled Maceo Parkerâs song, and the judges agreed with Parker.",True,the average listener was still able to recognize Maceo Parkerâs song,True,the judges agreed with Parker that this constituted copyright infringement.
111,James Drynan,Filion Family Welcome,Many musical compositions are written in the same key. Many musical compositions have the same time signature.,Wayne Rostad,Here We Are On the Road Again,"Dr. Chartier found the following similarities between the two songs, Filion Family Welcome and Here We Are On The Road Again.","Dr. Chartier found the following similarities between the two songs, Filion Family Welcome and Here We Are On The Road Again.",True,"The melody was virtually identical. The notes in each bar were identical in the first, second, third, fifth and sixth bars.",True,There will be judgment for the plaintiff.
113,John Fogerty,Run Through the Jungle,Fogerty assigned the copyright for his song 'Run through the Jungle' to Fantasy Records.,John Fogerty,The Old Man Down the Road,Later he wrote 'Old Man Down the Road',Fantasy claimed was derived from 'Jungle.',True,The only hints of melody...in both songs are the brief guitar riffs...,False,a jury later found that 'Old Man' was not unfairly derivative of 'Jungle.'
114,Fat Boys,Stick 'em,'Stick ‘em' work and made it available to the production team for the commercial.,Miller Brewing Co.,Miller Lite TV Ad,the television advertisement for Miller Lite (plays second).,"plaintiffs now say that the musical composition defendants copied is called 'Stick ‘Em,' and the sound recording defendants copied is that of the same composition.",True,"Plaintiffs identify the Particular 'musical and lyrical phrases' defendants copied as including, 'inter alia, the sounds designated as the 'Brrr' and 'Hugga Hugga' sounds.'",False,defendants’ motion for summary judgment dismissing plaintiffs’ copyright infringement claims is denied.
116,John Lee Hooker,Boogie Chillen,A recording of the song was sold to the public later that year and eventually up to one million copies were sold.,ZZ Top,La Grange,La Cienega accuses them of plagiarism in the composition of the song 'La Grange'.,The Court did not address the question whether ZZ Top's signature number 'La Grange' was derived from plaintiff's 'Boogie Chillun'.,True,ZZ Top also imitated the marginally coherent ramblings over this riff one hears in 'Boogie Chillun.',False,"The district court dismissed the complaint, ruling that the recordings were in the public domain."
117,Harry Woods,"When the Red, Red, Robin Comes Bob, Bob, Bobbin' Along","The plaintiff, Wood, terminated the defendant’s (the publisher Bourne) right to exploit a song that enjoyed durable profitability.",,,,"This appeal requires us to address conflicting claims to royalties generated by various uses of the song 'When the Red, Red, Robin Comes Bob, Bob, Bobbin’ Along'",False,,True,we affirm the judgment of the district court to the extent that it awards Callicoon royalties from post-termination performances of
118,Eddie Palmieri,Paginas De Mujer,"Palmieri alleged that Estefan’s song, 'Oye Mi Canto' infringed his own song, 'Paginas De Mujer.'",Gloria Estefan,Oye Mi Canto,"Estefan’s song, 'Oye Mi Canto'","Palmieri alleged that Estefan’s song, 'Oye Mi Canto' infringed his own song, 'Paginas De Mujer.'",True,"Palmieri alleged that Estefan’s song, 'Oye Mi Canto' is substantially similar to 'Paginas De Mujer.'",False,"Plaintiff declined to proceed to trial, forfeiting his rights to continue the case, even on appeal."
119,The Legend (Rene Santrayll & Michael Walker),Uh Oh,"The plaintiff, a rap music performer calling himself 'The Legend' alleged that defendant copied a syncopated repetition of the expression 'uh-oh'.",MC Hammer,Here Comes the Hammer,copied the extended syncopated repetition of the phrase 'uh-oh' which appears in two of plaintiffs’ copyrighted songs in his song 'Here Comes the Hammer.',copied the extended syncopated repetition of the phrase 'uh-oh' which appears in two of plaintiffs’ copyrighted songs in his song 'Here Comes the Hammer.',True,A distinctive rhythm comprises a sufficiently original composition to render it protectible by the copyright laws.,False,defendants’ motions for summary judgment on the copyright claims are denied.
120,Robert Smith and Reynard Jones,Don't Let the Sunshine,Jackson’s 'The Girl is Mine' infringed on one motive from appellants’ 'Don’t Let the Sunshine Catch You Crying',Michael Jackson,The Girl is Mine,Jackson’s 'The Girl is Mine' infringed on one motive from appellants’ 'Don’t Let the Sunshine Catch You Crying',Jackson’s 'The Girl is Mine' infringed on one motive from appellants’ 'Don’t Let the Sunshine Catch You Crying',True,Appellants' experts had failed to rebut appellees' expert testimony that appellants' allegedly infringed motives were unprotected 'scenes a faire.',False,The jury concluded that none of appellants’ works would be found to be substantially similar to appellees’ works
120,Robert Smith and Reynard Jones,Happy Go Lucky Girl,Jackson’s 'The Girl is Mine' infringed on two motives from appellants’ 'Happy Go Lucky Girl',Michael Jackson,The Girl is Mine,Jackson’s 'The Girl is Mine' infringed on two motives from appellants’ 'Happy Go Lucky Girl',Jackson’s 'The Girl is Mine' infringed on two motives from appellants’ 'Happy Go Lucky Girl',True,Appellants' experts had failed to rebut appellees' expert testimony that appellants' allegedly infringed motives were unprotected 'scenes a faire.',False,The jury concluded that none of appellants’ works would be found to be substantially similar to appellees’ works
121,James Damiano,Steel Guitars,"Plaintiff asserts infringement of his instrumental composition, “Steel Guitars,” by Dylan’s “Dignity.”",Bob Dylan,Dignity,Dylan’s song “Dignity” has full instrumentation and accompanying lyrics.,"Plaintiff asserts infringement of his instrumental composition, 'Steel Guitars,' by Dylan’s 'Dignity.'",True,"Although both sides retained experts for the comparison... there is no substantial similarity in the structure, instrumentation or melody.",False,Summary judgment will be granted in favor of defendants as to all of plaintiff’s copyright infringement claims.
122,Maree McRae,"Every Minute, Every Hour, Every Day","plaintiff Maree McRae alleges that defendants’ song “Every Second” infringed her copyrighted song “Every Minute, Every Hour, Every Day.”",Collin Raye,Every Second,The Smith Perry song was used on Collin Raye’s “All I Can Be” album.,"In this copyright case, plaintiff Maree McRae alleges that defendants’ song “Every Second” infringed her copyrighted song “Every Minute, Every Hour, Every Day.”",True,the melodic lines or tunes of the two songs at issue do not share significant amounts of either pitch or rhythm.,False,It is therefore ORDERED that defendants’ Motion for Summary Judgment is GRANTED.
123,Ray Repp,Till You,Repp's complaining song was actually based on material Repp had misappropriated from one of these earlier works by Webber!,Andrew Lloyd Webber,Phantom Song,"Lloyd Webber's ""Phantom"" number was derived from public domain works and existing numbers by Webber himself.",[he] must conclude that 'Phantom Song' is based on 'Till You.',True,Professor Hitchcock asserted that 'there were striking similarities between the two melodies.',False,where a jury ultimately found in favor of Webber.
124,The Honey Drippers,Impeach the President,"Impeach the President,' as recorded in 1973 by the artists known as the Honey Drippers.",Run DMC,Back from Hell,release of a sound recording entitled 'Back from Hell' by the group Run DMC,plaintiff in this copyright infringement action claims that...that work have been improperly copied by defendants in their recordings entitled 'Back from Hell'.,False,,False,"therefore, summary judgment is granted in favor of defendants."
125,Better Than Ezra,Coyote,Further reference to the case mentions the song 'Coyote' from the 'Deluxe' recording.,Better Than Ezra,unknown,,Case revolves around Bonnecaze's claim as a joint author of 'Better Than Ezra songs.',False,This case did not involve questions of musical similarity and infringement.,True,"Finding in favor of the band, the court suggested that Bonnecaze... was muddled about the nature of Bonnecaze’s contributions."
126,Everett Ellis,Lay Me Out By the Jukebox When I Die,plaintiff’s “Lay Me Out By the Jukebox When I Die”,Joe Diffie,Prop Me Up Beside the Jukebox (If I Die),defendant’s “Prop Me Up Beside the Jukebox If I Die”,The Circuit Court affirmed the trial court’s findings that...music of the choruses...is substantially similar...,True,substantial similarity...melodic peak on flattened seventh degree;...sing-song major and minor third skips,False,defendants presented evidence of independent creation...found that Ellis did not meet his burden
129,ZZ Top,La Grange,"Plaintiffs assert, without contradiction, that defendant Chrysler Corporation copied and used parts of plaintiffs’ song, La Grange.",ZZ Top,Promotional video for Plymouth Prowler,"used parts of plaintiffs’ song, La Grange, as the soundtrack to its promotional video for the new Plymouth Prowler.","Siding with the plaintiff ZZ Top in this case against Chrysler, Judge Lasnik based his decision.",True,"The similarities between the two works extend beyond the guitar riff that ZZ Top, in turn, had copied.",True,"Thus, plaintiffs’ motion for partial summary judgment is GRANTED and defendant is liable for infringing plaintiff’s valid copyright."
130,Snap!,Green Grass Grows,"Anzilotti’s “Green Grass Grows,”",Cygnus X,Superstring,"Hildenbeutel's work, 'Superstring.'",claimed plaintiffs Luca Anzilotti ... had infringed the copyright of their electronic sound work “Superstring”,True,The expression at issue is a five-note motif “la-ti-do-la-sol”,True,The Munich Regional Court determined the contested musical expression was not eligible for copyright protection.
131,George Michael,Planetary Citizen,"The sampled snippet in question is the 'Hey, hey, hey' opening cry recorded by John McLaughlin on the plaintiff's recording of 'Planetary Citizen' (1978).",Massive Attack,Unfinished Sympathy,Massive Attack's recording of 'Unfinished Sympathy',The sampled bit occurs in the same overall location in the introduction to the defendants' song.,False,,False,"Other than granting the Virgin/Island and EMI Group Defendants’ request to dismiss Armstrong’s Lanham Act claim, the Court denies the motions in all respects."
133,Michael Tisi,Sell Your Soul,"Plaintiff Michael Tisi ('Tisi'), a songwriter and the composer of a copyrighted but unpublished musical composition entitled 'Sell Your Soul' ('SYS').",Filter,Take A Picture,"TAP was commercially released on August 24, 1999, and was promoted as a single.","Plaintiff Michael Tisi ('Tisi'), a songwriter and the composer of 'Sell Your Soul' ('SYS'), sought to enjoin the defendants from distributing 'Take A Picture.'",True,"As mentioned, the melody in TAP does not share any notable similarities with the melody in SYS.",False,Defendants' motion for summary judgment dismissing the complaint is granted.
134,,Various pop songs in SACEM catalog,They did not have the authorization of the authors.,,Mashups of various songs in SACEM catalog,"During a 'Rave-Party,' DJs had remixed songs protected by the Droit d'auteur.",Judges held that all the remixed songs were changed/transformed.,False,,False,"Therefore, there was no copyright infringement."
135,Matthew Cooper,The Lower we Fly,"Mueller’s work infringed upon Matthew Cooper’s song,",Christophe Mueller,Pond's Nutrivits ad music,music Christophe Mueller prepared for the Pond’s advertisement,the court readily accepted the opinion of the late Claude Pascal... that Mueller’s work infringed upon Matthew Cooper’s song,True,"the court readily accepted the opinion of the late Claude Pascal, its designated musical expert... the disputed musical expression",True,"the court did award plaintiffs Warner Chappell and Cooper, a total of 100,000 francs, for which defendants Mueller and Bandits were responsible"
136,Astrud Gilberto,Girl from Ipanema,Gilberto recorded “Ipanema” accompanied by Stan Getz.,Frito-Lay,Frito-Lay TV ad,The ad shows several famous models reclining by a swimming pool. The 1964 Recording of Ipanema plays in the background.,"defendants infringed her trademark rights under...the Lanham Act, by using a famous 1964 recording of Gilberto singing “The Girl from Ipanema” in a television commercial",False,,False,The dismissal of Gilberto’s Lanham Act claim is affirmed.
137,Albano Carrisi,I cigni di Balaka,"Al Bano (Albano Carrisi) and the late, erstwhile, 'King of Pop,' Michael Jackson.",Michael Jackson,Will You Be There,"Jackson had copied Carrisi's song, ordered Sony to cease distribution of Jackson's song in Italy.",In the first judgment in this dispute the Rome court of first instance determined Jackson had copied Carrisi's song.,True,Rome court of first instance determined Jackson had copied Carrisi's song.,False,The Rome appeals court overturned the judgment of the initial court of first instance.
138,Marley Marl,The Symphony,"Marlon Williams, known as Marley Marl, ""The Symphony""",Snoop Dogg,Ghetto Symphony,"Calvin Broadus, better known as Snoop Dogg, ""Ghetto Symphony.""","The songs in contention are Williams’ “The Symphony” and Broadus’ song, “Ghetto Symphony.”",True,Defendants concede that “Ghetto Symphony” used some of the lyrics and music of “The Symphony.”,True,defendants’ motion for summary judgment is denied.
139,Chuck Berry and Johnnie Johnson,Wee Wee Hours,,,,,,False,,False,Order by Judge Daniel Stohr of the U.S. District Court Eastern Division of Missouri: PDF
140,Paula Toliver,Independent Lady,,Destiny's Child,Independent Women,,,False,,False,
141,Marianne Cray,Where Are You Now,composed and owned the musical and literary copyright subsisting in a song called 'Where Are You Now.',Imaani,Where Are You,"first heard 'Where Are You,' sung by the female pop artist professionally known as 'Imaani,'","Plaintiff claimed that Defendant, Hit & Run Music Publishing Limited, infringed these rights, after hearing what she took to be the chorus of her song in another song called 'Where Are You.'",True,the melodic notes of the hook lines; the melodies of the songs,False,the court held that the similarities relied upon did not amount to a substantial part of the musical and literary work embodied in 'Where Are You Now.'
142,The Meters,Hand Clapping Song,HCS is a funk song laced with percussion and strong guitar sounds.,Whitney Houston,My Love is Your Love,My Love is a recent hit song performed by Whitney Houston.,The main issue is whether there was improper appropriation.,True,The melodic sequence that is identical in both songs and accompanies the lyrics “clap your hands.”,False,"Plaintiffs’ motion for summary judgment is granted; no reasonable fact finder could conclude that My Love was copied, even in part, from HCS."
143,Stephan Malmstedt,Jenny and I,"Claimant alleged that a pop song called “Sleeping in My Car,” composed by the second Defendant, Per Gessle...infringed his musical copyright in an earlier work called “Jenny and I.”",Per Gessle,Sleeping in My Car,"Claimant alleged that a pop song called “Sleeping in My Car,” composed by the second Defendant, Per Gessle...infringed his musical copyright in an earlier work called “Jenny and I.”",Claimant concluded that the chorus from “Jenny and I” had been copied.,True,similarities in musical phrases were not unusual in this style of music,False,"the court found, on a clear balance of probabilities, that there was no copying and that what was alleged to have been copied was not substantial."
144,WEH,Heartbeat,complaining_work: Heartbeat,Sophie Ellis-Bextor,Get Over You,defending_work: Get Over You,HEARTBEAT vs. GET OVER YOU,True,HEARTBEAT used as a basis for melody,True,Court decided in favor of WEH.
145,Michael Cottrill and Lawrence Wnukowski,What You See is What You Get,Plaintiffs' action involves the copyright for one such song entitled 'What You See Is What You Get'.,Britney Spears,What U See is What U Get,Defendants' song 'What U See Is What U Get' on Britney Spears's 'Oops I Did It Again' album.,Plaintiffs asserted that the music of Defendants' 'What U See Is What You Get' was copied from Plaintiffs' copyrighted work.,True,Plaintiffs can't show that the two songs are substantially or strikingly similar.,False,The court granted a summary judgment in favor of the defendant (Britney Spears et al.).
146,James W. Newton,Choir,performed and recorded “Choir” and licensed all rights in the sound recording to ECM Records for $5000.,Beastie Boys,Pass the Mic,Beastie Boys obtained a license from ECM Records to use portions of the sound recording of “Choir”,"The particular sample in this case consists of a six-second, three-note segment.",True,"The notes in question — C – D flat – C, over a held C note.",False,We affirm on the ground that Beastie Boys' use was de minimis and therefore not actionable.
