year,country,case_name,link,court,complaining_work,defending_work,complaining_author,defending
1999,DE,Anzilotti v. Hildenbeutel,https://blogs.law.gwu.edu/mcir/case/luca-anzilotti-et-al-v-ralf-hildenbeutel-et-al/,OLG [Higher State Court] Munich,Green Grass Grows (Earth follows),Superstring,Snap!,Cygnus X
2000,US,Armstrong v. Virgin Records,https://blogs.law.gwu.edu/mcir/case/armstrong-v-virgin-records/,S.D.N.Y.,Planetary Citizen,Unfinished Sympathy,"John McLaughlin, et al.","Robert Del Naja, et al"
2000,US,Three Boys Music v. Michael Bolton,https://blogs.law.gwu.edu/mcir/case/three-boys-music-v-michael-bolton/,9th Cir.,Love is a Wonderful Thing,Love is a Wonderful Thing,Isley Brothers,Michael Bolton and Andrew Goldmark
2000,US,Tisi v. Patrick,https://blogs.law.gwu.edu/mcir/case/tisi-v-patrick/,S.D.N.Y.,Sell Your Soul,Take A Picture,Michael Tisi,Richard Patrick
2000,FR,Bouffard v. Ministère Public,https://blogs.law.gwu.edu/mcir/case/bouffard-v-ministere-public/,Cour d’Appel [Regional Court of Appeal] Toulouse,Various pop songs in SACEM catalog,Mashups of various songs in SACEM catalog,,
2000,FR,"Cooper v. Ogilvy & Mather, et al.",https://blogs.law.gwu.edu/mcir/case/cooper-v-ogilvy-mather-et-al/,Tribunal de grande instance,The Lower we Fly,"""Pond's Nutrivits"" ads",Matthew Cooper,Ogilvy & Mather
2001,US,Oliviera v. Frito-Lay,https://blogs.law.gwu.edu/mcir/case/oliviera-v-frito-lay-et-al/,2nd Cir.,Girl from Ipenama,Frito-Lay TV ad,Astrud Gilberto,Frito-Lay Corp.
2001,IT,Albano Carrisi v. Michael Jackson,https://blogs.law.gwu.edu/mcir/case/albano-carrisi-v-michael-jackson/,Corte app. (Rome),I cigni di Balaka,Will You be There?,Albano Carrisi,Michael Jackson
2001,US,Marlon Williams v. Calvin Broadus,https://blogs.law.gwu.edu/mcir/case/marlon-williams-v-calvin-broadus/,S.D.N.Y.,The Symphony,Ghetto Symphony,Marlon Williams,Calvin Broadus
2001,US,Johnson v. Berry,https://blogs.law.gwu.edu/mcir/case/johnson-v-berry-2/,E.D. Mo.,Wee Wee Hours,N/A,Chuck Berry and Johnnie Johnson,N/A
2001,US,Toliver v. Sony Music,https://blogs.law.gwu.edu/mcir/case/toliver-v-sony-music/,D. Alaska,Independent Lady,Independent Women,Paula Toliver,Destiny's Child
2002,UK,Creagh v. Hit and Run Music,https://blogs.law.gwu.edu/mcir/case/creagh-v-hit-and-run-music/,Ch. Div.,Where are You Now,Where are You,Marianne Creagh,"Simon Stirling, et al."
2002,US,Jean et al. v. Bug Music,https://blogs.law.gwu.edu/mcir/case/jean-et-al-v-bug-music/,S.D.N.Y.,Hand Clapping Song,My Love is Your Love,"Leo Nocentelli, et al.",Nel Wyclef Jean and Jerry Duplessis
2002,UK,Malmstedt v. EMI Records,https://blogs.law.gwu.edu/mcir/case/malmstedt-v-emi-records/,Ch. D.,Jenny and I,Sleeping in my Car,Stephan Malmstedt,Per Gessle
2002,DE,Weh v. Universal Music Publishing,https://blogs.law.gwu.edu/mcir/case/weh-v-universal-music-publishing-2/,LG [State Court] Munich,Heartbeat,Get Over You,WEH,Sophie Ellis-Bextor
2003,US,Cottrill v. Spears,https://blogs.law.gwu.edu/mcir/case/cottrill-v-spears/,E.D. Pa.,What You See is What You Get,"What U See is What U Get, Can't Make You Love Me",Michael Cottrill and Lawrence Wnukowski,"Jorgen Elufsson, David Kreuger, Per Magnusson, Rami Yacoub"
2003,US,Newton v. Diamond,https://blogs.law.gwu.edu/mcir/case/newton-v-diamond/,9th Cir.,Choir,Pass the Mic,James W. Newton,"Adam Yauch, et al."
2003,US,Ory v. Country Joe McDonald,https://blogs.law.gwu.edu/mcir/case/ory-v-country-joe-mcdonald/,C.D. Cal.,Muskrat Ramble,I Feel Like I'm Fixin' to  Die Rag,"Edward ""Kid"" Ory",Joe McDonald
2003,US,Jorgensen v. Epic/Sony Records,https://blogs.law.gwu.edu/mcir/case/jorgensen-v-epicsony-records/,2d Cir.,Long Lost Lover,"My Heart Will Go On, Amazed",John L. Jorgensen,"James Horner, Will Jennings, Chris Lindsey, Aimee Mayo and Marv Green"
2003,DE,Ergin v. Kershaw,https://blogs.law.gwu.edu/mcir/case/in-re-ergin/,OLG [Higher State Court] Hamburg,Jingle of German bank: “Wenn’s ums Geld geht-Sparkasse”,Wouldn't It Be Good,"Mehmet Ergin, Christoph Lienemann",[Unknown Composer]
2003,JP,Kobayashi v. Hatorri,https://blogs.law.gwu.edu/mcir/case/kobayashi-v-hatorri/,Supreme Court of Japan,Dokomademo Ikou [Let's Go Anywhere],Kinenju [Memorial Tree],Asei Kobayashi,Katsuhisa Hattori
2004,PRC,Apollo v. Coca Cola,https://blogs.law.gwu.edu/mcir/case/apollo-inc-v-coca-cola-china-inc/,Beijing District Court,When the Sun Rises,Sunrise,Apollo Inc.,Coca-Cola (China) Inc.
2004,US,Swirsky v. Carey,https://blogs.law.gwu.edu/mcir/case/swirsky-v-carey/,9th Cir.,One of Those Love Songs,Thank God I Found You,Seth Swirsky and Warryn Campbell,Mariah Carey
2004,ZU,"Disney Enterprises, Inc. v. S.G. Griesel",https://blogs.law.gwu.edu/mcir/case/sample-griesel-v-disney-inc/,High Court of South Africa,Mbube,The Lion Sleeps Tonight,Soloman Ntsele [p/k/a/ Linda],"Pete Seger et al. (From Disney's 1997 Broadway musical ""The Lion King"")"
2004,US,Ulloa v. Universal,https://blogs.law.gwu.edu/mcir/case/ulloa-v-universal/,S.D.N.Y.,Brief countermelody to defendant's song,Izzo (H.O.V.A.),Demme Ulloa,Shawn Carter
2005,US,BMS Entertainment v. Bridges,https://blogs.law.gwu.edu/mcir/case/bms-entertainment-v-bridges/,S.D.N.Y.,Straight Like That,Stand Up,"Ramid Brown, et al.",Christopher Bridges
2005,US,"Bridgeport Music v. Dimension Films, et al.",https://blogs.law.gwu.edu/mcir/case/bridgeport-music-v-dimension-films-et-al/,6th Cir.,Get Off Your Ass and Jam,100 Miles and Runnin',George Clinton,"Eric Wright, et al."
2005,UK,Coffey v. Warner/Chappell Music,https://blogs.law.gwu.edu/mcir/case/coffey-v-warnerchappell-music/,Ch. D.,Forever After,Nothing Really Mattters,Elizabeth Coffey,Patrick Leonard & Madonna Ciccone
2005,US,Griffin v. J-Records,https://blogs.law.gwu.edu/mcir/case/griffin-v-j-records/,E.D. Wash.,Heart of Gold,Dance With My Father,Tia Griffin,"Richard Marx, Luther Vandross"
2005,US,Johnson v. Gordon,https://blogs.law.gwu.edu/mcir/case/johnson-v-gordon/,1st Cir.,You’re the One (For Me),You’re the One,Calvin R. Johnson,"Allen Gordon Jr., et al."
2005,US,Positive Black Talk v. Cash Money Records,https://blogs.law.gwu.edu/mcir/case/positive-black-talk-v-cash-money-records/,5th Cir.,Back That Ass Up,Back That Azz Up,"Jerome Temple (""Jubilee"")","Terius Gray (""Juvenile"")"
2005,US,Vargas v. Pfizer,https://blogs.law.gwu.edu/mcir/case/vargas-v-pfizer/,S.D.N.Y.,Bust Dat Groove Without Ride,Advertisement for Celebrex,Ralph Vargas and Bland-Ricky Roberts,"Brian Transeau, et al."
2005,PRC,Yong Wang v. Zhengben Zhu,https://blogs.law.gwu.edu/mcir/case/yong-wang-v-zhengben-zhu/,"Beijing Court of Appeals, First District",Send My Comrade to Beijing,Farewell to the Red Army,Yong Wang,Zhengben Zhu
2005,IT,Bacalov v. Endrigo,https://blogs.law.gwu.edu/mcir/case/bacalov-v-enrigo/,Cass. civ.,Nelle mie notti,Il Postino,Sergio Endrigo,Luis Bacalov
2006,US,Boone v. Jackson,https://blogs.law.gwu.edu/mcir/case/boone-v-jackson/,2d Cir.,Holla Back,Young 'N,"Carl Boone (""Trajik"")","John Jackson (""Fabolous"")"
2006,US,Tilford v. Jones,https://blogs.law.gwu.edu/mcir/case/tilford-v-jones-2/ ,S.D. Tex,Still Tippin',Still Tippin',Bradley Tilford,"Michael Jones, et al."
2007,US,Armour v. Knowles,https://blogs.law.gwu.edu/mcir/case/armour-v-knowles/,5th Cir.,Got a Little Bit of Love for You,Baby Boy,Jennifer Armour,Beyoncé Knowles
2007,US,Bridgeport Music v. Combs,https://blogs.law.gwu.edu/mcir/case/bridgeport-music-v-combs/,6th Cir.,Singing in the Morning,Ready to Die,"Robert Jones, et al.",Christopher Wallace
2007,US,"Lil' Joe Wein Music, Inc. v. Jackson",https://blogs.law.gwu.edu/mcir/case/lil-joe-wein-music-inc-v-jackson/,11th Cir.,It's Your Birthday,In Da Club,Luther Campbell,"Curtis James Jackson aka ""50 Cent"""
2007,TWN,People v. Hu,https://blogs.law.gwu.edu/mcir/case/people-v-hu/,Taiwan Pingtong Appellate Court,Lianshang Love Song,Bye Bye My Lover!,Lo,Hu
2007,US,Vargas v. Transeau,https://blogs.law.gwu.edu/mcir/case/vargas-v-transeau/,S.D.N.Y.,Aparthenonia,Bust Dat Groove Without Ride,Ralph Vargas and Bland-Ricky Roberts,Brian Transeau
2007,US,Velez v. Sony Discos,https://blogs.law.gwu.edu/mcir/case/velez-v-sony-discos/,S.D.N.Y.,Hasta Hoy,Tengo Ganas,Victor Velez,Victor Manuelle
2007,US,Lester v. U2,https://blogs.law.gwu.edu/mcir/case/lester-v-u2/,C.D. Cal.,Nowhere Fast,Vertigo,Chris Lester,U2 (band)
2007,PRC,"Huang Nenghua, et al. v. China Record Shanghai Co., Ltd.",https://blogs.law.gwu.edu/mcir/case/huang-nenghua-et-al-v-china-record-shanghai-co-ltd/,Shanghai Interm. People’s Court,"Arrangements of Chinese Operas, including: The Mother as Slave","Recording of popular vocal numbers from Chinese Operas, including a portion of The Mother as Slave",Xu Ruhui,Yang Feifei
2008,US,Glover v. Austin,https://blogs.law.gwu.edu/mcir/case/glover-v-austin/,2d Cir.,Make Up Your Mind,Unpretty,Corey Glover,"Tionne Watkins, et al."
2008,DE,"Winter v. Moore, et al.",https://blogs.law.gwu.edu/mcir/case/winter-v-moore-et-al/,Munich Distr. Ct.,Nordrach,Still Got the Blues,"Jurgen Winter, et al., (a.k.a. ""Jud's Gallery"")",Gary Moore
2008,IN,Sampath v. Roshan,https://blogs.law.gwu.edu/mcir/case/ram-sampath-v-rakesh-roshan-ors/,Bom. HC,The Thump,Krazzy 4 (Remix) & Breakfree (Remix),Ram Sampath,Vishal Dadlani
2009,US,Allen v. Destiny's Child,https://blogs.law.gwu.edu/mcir/case/allen-v-destinys-child/,N.D. Ill.,Cater 2 U,Cater 2 U,Rickey Allen,Destiny's Child
2009,US,Brainard v. Vassar,https://blogs.law.gwu.edu/mcir/case/brainard-v-vassar/,M.D.Tenn.,Good Ol' Days to Come,Good Ole Days,Dustin Evans,Phil Vassar
2009,US,"Steele v. Bongiovi, et al.",https://blogs.law.gwu.edu/mcir/case/samuel-steele-v-jon-bongiovi-et-al/,D. Mass.,Man I Really Love This Team,I Love This Town,Samuel Steele,Jon Bongiovi
2009,US,"Bridgeport Music, Inc. v. UMG Recordings, Inc",https://blogs.law.gwu.edu/mcir/case/bridgeport-music-inc-v-umg-recordings-inc/,6th Cir.,Atomic Dog,D.O.G. In Me,George Clinton,"Robert Kelly, et al. (""Public Announcement"")"
2009,US,Jones v. Blige,https://blogs.law.gwu.edu/mcir/case/jones-v-blige/,6th Cir.,Party Ain't Crunk,Family Affair,Leonard Jones and James E. White,Mary J. Blige
2009,US,"Joe Satriani v. Christopher Martin, et al. [Coldplay]",https://blogs.law.gwu.edu/mcir/case/inplay-joe-satriani-v-christopher-martin-et-al-coldplay/,C.D. Cal.,If I Could Fly,Viva la Vida,Joe Satriani,Christopher Martin et al. [Coldplay]
2009,DE,Weh v. Universal Music Publishing,https://blogs.law.gwu.edu/mcir/case/weh-v-universal-music-publishing/,KG [Higher State Court] Berlin,Heartbeat,Get Over You,WEH,Sophie Ellis-Bextor
2010,US,"Currin v. Pharrell Williams, et al.",https://blogs.law.gwu.edu/mcir/case/currin-et-al-v-arista-records-inc-et-al/,D. Conn.,I'm Frontin',Frontin,David & Peter Currin,Pharrell Williams
2010,AU,Larrikin Music Publishing Ltd. v. EMI Songs Australia Ltd.,https://blogs.law.gwu.edu/mcir/case/larrikin-music-publishing-ltd-v-emi-songs-australia-plty-ltd/,Fed. Ct. Aus.,Kookaburra Sits in the Old Gum Tree,Down Under,Marion Sinclair,"Colin Hay (""Men At Work"")"
2010,US,Marshall v. Huffman,https://blogs.law.gwu.edu/mcir/case/marshall-v-huffman/,N.D. Cal.,You are the One,My Love,Preston Marshall,"John Huffman, Real Content Media Group, Mariah Carey"
2010,US,"Prunte v. Universal Music Group Inc., et al.",https://blogs.law.gwu.edu/mcir/case/prunte-v-universal-music-group-inc-et-al/,D.C. Cir.,"Fire in Da Hole, Plus Others","Fire in the Hole, Plus Others",Robert R. Prunte,"Black Rob, et al."
2010,US,Martel Ellis v. Wyclef Jean,https://blogs.law.gwu.edu/mcir/case/inplay-martel-ellis-v-wyclef-jean/,S.D.N.Y.,Danger,Welcome to the East,Martel Ellis,Wyclef Jean
2010,US,"Ebony Latrice Batts v. William Adams, et al. [“Black Eyed Peas”]",https://blogs.law.gwu.edu/mcir/case/inplay-ebony-latrice-batts-v-william-adams-et-al-black-eyed-peas/,C.D. Cal.,Boom Dynamite,Boom Boom Pow,Ebony Latrice Batts aka “Phoenix Phenom”,"William Adams, et al. [“Black Eyed Peas”]"
2010,US,"Holmes v. Page, et al.",https://blogs.law.gwu.edu/mcir/case/holmes-v-page-et-al/,C.D. Cal.,Dazed and Confused,Dazed and Confused,Jake Holmes,Led Zeppelin
2011,US,"Ernest Straughter v. Usher Raymond, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-ernest-straughter-v-usher-raymond-et-al/,C.D. Cal.,The Reasons Why,Burn,Ernest Straughter,"Usher Raymond, et al."
2011,US,Pyatt v. Raymond,https://blogs.law.gwu.edu/mcir/case/pyatt-v-raymond/,S.D.N.Y.,Caught Up,Caught Up,Wadena Pyatt,Usher Raymond
2011,US,Lessem v. Taylor,https://blogs.law.gwu.edu/mcir/case/lessem-v-taylor2/,S.D.N.Y.,Elevator,How We Do,"Ryan Lessem, Douglas Johnson","Jayceon Taylor (“The Game”), Andre Young (“Dr. Dre”), Michael Elizondo, Curtis Jackson (“50 Cent”)"
2011,US,"Saregama India v. Timothy Mosley, et al.",https://blogs.law.gwu.edu/mcir/case/saregama-india-v-timothy-mosley-et-al/,11th Cir.,Baghon Mein Behar Hai,Put You on the Game,Anonymous,"Timothy Mosley, aka ""Timbaland"""
2011,DE,"Eight Mile Style [Marshall Mathers, aka Eminem” v. Audi GmbH",https://blogs.law.gwu.edu/mcir/case/inplay-eight-mile-style-marshall-mathers-aka-eminem-v-audi-gmbh/,Hamburg Regional Court,Advertisement for Chrysler Corp.,​Advertisement for Audi A6 “Avant”,Marshall Mathers [aka “Eminem”],Audi GmbH
2011,DE,Obinger v. McDonald's,https://blogs.law.gwu.edu/mcir/case/obinger-v-mcdonalds/,OLG [Higher State Court] Munich,,McDonald's-Jingle,Stephan Obinger,McDonald's Corporation
2011,US,Stokes v. Stephens,https://blogs.law.gwu.edu/mcir/case/stokes-v-stephens/,D.N.J.,Where are You Now?,Maxine's Interlude,Anthony Stokes,John Legend
2012,US,"Lyles v. Capital - EMI Music, Inc., et al.",https://blogs.law.gwu.edu/mcir/case/lyles-v-capital-emi-music-inc-et-al/,S.D. Ohio,Without You,Without You,Bruce Lyles,David Guetta
2012,US,Peters v. West,https://blogs.law.gwu.edu/mcir/case/vincent-peters-v-kanye-west-et-al/,7th Cir.,Stronger,Stronger,Vince Peters,Kanye West
2012,TWN,People v. Xinru Wang,https://blogs.law.gwu.edu/mcir/case/people-v-xinru-wang/,Taiwan Shilin District Court,What Is Wrong with Love,Sleeping Beauty,Meiru Huang,Xinru Wang
2012,US,Done Deal v. Carter,https://blogs.law.gwu.edu/mcir/case/done-deal-ent-v-carter/,S.D.N.Y.,Bedrock,Bedrock,William Keith,"Dwayne Carter, aka Lil Wayne"
2012,US,Poindexter v. EMI Record Group,https://blogs.law.gwu.edu/mcir/case/robert-poindexter-v-emi-record-group/,S.D.N.Y.,Thin Line Between Love and Hate,Washed Away,"Robert Poindexter, et al.",EMI Record Group
2012,PRC,Rui Hua Wang v. Qi Gang Chen,https://blogs.law.gwu.edu/mcir/case/rui-hua-wang-v-qi-gang-chen-et-al/,Sup. Ct. Beijing,You and Me,You and Me,Rui Hua Wang,Qi Gang Chen
2012,US,Black Keys v. Home Depot and Pizza Hut,https://blogs.law.gwu.edu/mcir/case/inplay-black-keys-v-home-depot-and-pizza-hut/,C.D. Cal.,Lonely Boy; Gold on the Ceiling,Advertisement for Home Depot; Advertisement for Pizza Hut,Daniel Auerbach and Patrick Carney,
2012,US,Erickson v. Blake,https://blogs.law.gwu.edu/mcir/case/erickson-v-blake/,D. Or.,Pi Symphony,What Pi Sounds Like,Lars Erickson,Michael John Blake
2012,,"Barobax v. Chakraborty, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-barobax-v-chakraborty-et-al/,,Soosan Khanoom,Pyaar Ki Pungi,Kevian Haghgoo et al.,Pritam Chakraborty
2013,US,Hobbs v. John,https://blogs.law.gwu.edu/mcir/case/hobbs-v-john/,7th Cir.,Natasha,Nikita,Guy Hobbs,Elton John
2013,US,Loomis v. Cornish,https://blogs.law.gwu.edu/mcir/case/loomis-v-cornish/,C.D. Cal.,Bright Red Chords,Domino,Will Loomis,Jessica Cornish
2013,US,"Twilight Records v. Raymond, et al.",https://blogs.law.gwu.edu/mcir/case/twilight-records-v-raymond-et-al/,N.D. Ill.,Syl Johnson,Different Strokes,Usher Raymond,Call Me a Mack
2013,US,"Love v. Universal Music Group, Inc.",https://blogs.law.gwu.edu/mcir/case/love-et-al-v-universal-music-group-inc/ ,W.D. Mo.,I'm Doing My Job,Doin My Job,Bloodstone,Kanye West
2014,US,"Francescatti v. Germanotta [""Lady Gaga""]",https://blogs.law.gwu.edu/mcir/case/rebecca-francescatti-v-stefani-germanotta-aka-lady-gaga/,N.D. Ill.,Juda,Judas,Rebecca Francescatti,Stefani Germanotta
2014,US,"Pringle v. Adams [""Black Eyed Peas""]",https://blogs.law.gwu.edu/mcir/case/bryan-pringle-v-william-adams-et-al-black-eyed-peas/,9th Cir.,Take a Drive,I Gotta Feeling,Brian Pringle,"William Adams, et al."
2014,US,Steward v. Kanye West,https://blogs.law.gwu.edu/mcir/?post_type=case&p=14270&preview=true,C.D. Cal.,Bumpin' Bus Stop,Gold Digger,David Pryor,Kanye West
2014,US,"TufAmerica, Inc. v. Warner Bros Music Corp., et al",https://blogs.law.gwu.edu/mcir/case/tufamerica-inc-v-warner-bros-music-corp-et-al/,S.D.N.Y.,"Hook & Sling, Pt. I",Run This Town,Eddie Bo & The Soul Finders,"Shawn Carter (""Jay-Z"") et al."
2014,US,Mayimba Music v. Sony,https://blogs.law.gwu.edu/mcir/case/mayimba-music-v-sony-corp-of-america/,S.D.N.Y.,Loca con su Tiguere,Loca con su Tiguere,Ramon Arias Vasquez,Eduard Edwin Bello Pou
2014,US,Paul Batiste v. Faheem Rasheed Najm,https://blogs.law.gwu.edu/mcir/?post_type=case&p=10824&preview=true,E.D. La.,I Like Your Way; Blues Man,Put It Down; Reggae Nigh,Paul Batiste,Faheem Rasheed Najm (p/k/a T-Pain)
2014,DE,Musikverlag Richard Birnbach v. ZDF,https://blogs.law.gwu.edu/mcir/case/musikverlag-richard-birnbach-v-zdf/,OLG [Higher State Court] Munich,Fanfaren-Blues,"""Today"" Jingle","Klaus Wüsthoff, Hans Günter Wagener",ZDF
2015,US,Lane v. Knowles-Carter,https://blogs.law.gwu.edu/mcir/case/lane-v-knowles-carter/,S.D.N.Y.,X.O.X.O.,X.O.,Ahmad Javon Lane,Beyonce Knowles-Carter
2015,US,"New Old Music v. Gottwald, et al.",https://blogs.law.gwu.edu/mcir/case/new-old-music-v-gottwald-et-al/,S.D.N.Y.,Zimba ku,Price Tag,Lenny Lee Goldsmith,"Jessica Cornish, et al."
2015,US,"Devin Copeland v. Justin Bieber, et al.",https://blogs.law.gwu.edu/mcir/case/devin-copeland-v-justin-bieber-et-al/,4th Cir.,Someone to Love,Someone to Love,Devin Copeland,"Justin Bieber, et al."
2015,US,"TufAmerica v. Diamond, et al.",https://blogs.law.gwu.edu/mcir/case/tufamerica-v-diamond-et-al-beastie-boys/,S.D.N.Y.,Say What; Drop the Bomb,Shadrach; Car Thief; Hold It,Trouble Funk [band],"Diamond, Horovitz, et al. [Beastie Boys]"
2015,US,"Miles Floyd v. Rod Stewart, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-miles-floyd-v-rod-stewart-et-al/,N.D. Ga.,Corrine Corrina,Corrina Corrina,"American folk song, as performed by Bo Carter","American folk song, as performed by Rod Stewart"
2015,US,"Daniel Marino v. Usher, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-daniel-marino-v-usher-et-al/,E.D. Pa.,,Bad Girl,Daniel Marino,Usher Raymond
2015,US,Tom Petty v. Sam Smith,https://blogs.law.gwu.edu/mcir/case/inplay-tom-petty-v-sam-smith/,,I Won't Back Down,Stay With Me,Tom Petty and Jeff Lynne,Sam Smith
2015,US,Richard Friedman v. Hans Zimmer,https://blogs.law.gwu.edu/mcir/case/inplay-richard-friedman-v-hans-zimmer/,C.D. Cal.,To Our Fallen,Music score for “12 Years a Slave”,Richard Friedman,Hans Zimmer
2015,DE,Dark Sanctuary v. Bushido,https://blogs.law.gwu.edu/mcir/case/dark-sanctuary-v-bushido/,BGH [Federal Court of Justice],Les Memoires Blessées,Janine,Dark Sanctuary,Bushido
2015,FR,Johnson v. Goldman,https://blogs.law.gwu.edu/mcir/case/johnson-v-goldman/,Cour de cassation [supreme court for judicial matters],Forever,Aicha,Jefferson/Jean-François Johnson,Jean-Jacques Goldman
2015,US,"Guzman v. Hacienda Records, et al.",https://blogs.law.gwu.edu/mcir/case/guzman-v-hacienda-records-inc/,5th Cir.,"Triste Adventura, alternatively known as Cartas de Amor",Cartas de Amor,Jose Guzman,Hacienda Records
2015,IT,Universal Music Publishing v. Sony BMG Music Entertainment,https://blogs.law.gwu.edu/mcir/case/universal-music-publishing-v-sony-bmg-music-entertainment/,Cass. civ.,Zingara,"Prendi questa mano, zingara",Enrico Riccardi and Luigi Albertelli,Francesco De Gregori
2016,US,Fahmy v. Jay Z et al.,https://blogs.law.gwu.edu/mcir/case/fahmy-v-jay-z-et-al/,C.D. Cal.,"Khosara, Khosara",Big Pimpin',Baligh Hamdi,Jay Z et al.
2016,US,Bowen v. Paisley,https://blogs.law.gwu.edu/mcir/case/bowen-v-paisley/,M.D. Tenn.,Remind Me,Remind Me,Amy Bowen,"Brad Paisley, et al"
2016,US,"VMG Salsoul v Madonna Ciccone, et al.",https://blogs.law.gwu.edu/mcir/case/vmg-salsoul-llc-v-madonna-louise-ciccone-et-al/,9th Cir.,Chicago Bus Stop,Vogue,"Vincent Montana, Richard Pettibone","Madonna Ciccone, Richard Pettibone"
2016,US,"McDonald v. West, et al.",https://blogs.law.gwu.edu/mcir/case/joel-mcdonald-v-kanye-west-et-al/,2d Cir.,Made in America,Made in America,Joel McDonald,"Kanye West, et al."
2016,US,We Shall Overcome Foundation v. Richmond Foundation & Ludlow Music,https://blogs.law.gwu.edu/mcir/case/we-shall-overcome-foundation-v-richmond-organization-ludlow-music/,S.D.N.Y,We Shall Overcome,NA,African-American Spiritual,NA
2016,US,"Alisa Apps v. Universal Music, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-alisa-apps-v-universal-music-et-al/,D. Nev.,Need to Know,Love Me Again,Alisa Apps,John Newman
2016,US,Arnett v. Alan Jackson & Sony Music,https://blogs.law.gwu.edu/mcir/case/inplay-arnett-v-alan-jackson-sony-music/,E.D.N.C.,Remember Me,Remember When,Timothy Arnett,Alan Jackson
2016,US,"BMG v. Atlantic Recording Organization, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-bmg-v-atlantic-recording-organization-et-al/,S.D.N.Y.,Came to Do,Post to Be,"Joseph Bereal, et al.","Omari Ishmael Grandberry, aka “Omarion”"
2016,US,"Eric Smith, et al. v. Amanda Jiroux, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-eric-smith-et-al-v-amanda-jiroux-et-al/,C.D. Cal.,No Rain,Insane,"Eric  Smith, et al.",Amanda Jiroux
2016,US,"Gabor Presser v. Kanye West, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-gabor-presser-v-kanye-west-et-al/,S.D.N.Y.,Gyongyhaju Lany,New Slaves,Gabor Presser & Anna Adamis,Kanye West
2016,US,"Mattie Music Group v. Lamar, Warner/Chappell, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-mattie-music-group-v-lamar-warnerchappell-et-al/,C.D. Cal.,Don't You Want to Stay,I Do This,"Bill Withers, et al.","Kendrick Lamar, et al."
2016,US,"McElroy, et al. v. Eriksen, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-mcelroy-et-al-v-eriksen-et-al/,C.D. Cal.,Why You Treat Me So Bad,I'm Worth It,"Thomas McElroy, Denzil Delano, Jay King","Mikkel Eriksen, et al."
2016,US,"Songs Music Publishing v. Porsche, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-songs-music-publishing-v-porsche-et-al/,M.D. Tenn.,Jungle,Advertisement for Porsche’s Cayman 718 automobile,Members of  the band “X Ambassadors”,Cramer-Krasselt advertising agency
2016,US,"Yours, Mine & Ours v. Sony, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-yours-mine-ours-v-sony-et-al/,C.D. Cal.,Young Girls,Uptown Funk,Members of  “electro-funk” band Collage,Peter Hernandez (“Bruno Mars”) et al.
2016,US,"Estate of Armetia Chatmon v. Eric Clapton, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-estate-of-armetia-chatmon-v-eric-clapton-et-al/,M.D. Tenn.,"Corrine, Corrina","Alberta, Alberta",Public domain blues number performed by Bo Carter (Chatmon),Public domain blues number performed by Eric Clapton
2016,US,"Miller, et al. dba “Sleigh Bells” v. Demi Lovato",https://blogs.law.gwu.edu/mcir/case/inplay-miller-et-al-dba-sleigh-bells-v-demi-lovato/,C.D. Cal.,Infinity Guitars,Stars,“Sleigh Bells” [band],Demi Lovato
2016,US,"Greggs v. Grande, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-greggs-v-grande-et-al/,C.D. Cal.,Takes All Night,One Last Time,Alex Greggs,Ariana Grande
2016,US,"HaloSongs, Inc., Martin Harrington, Thomas Leonard v. Ed Sheeran, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-halosongs-inc-martin-harrington-thomas-leonard-v-ed-sheeran-et-al/,C.D. Cal.,Amazing,Photograph,Martin Harrington & Thomas Leonard,Ed Sheeran & John McDaid
2016,US,"Darlene Love v. Scripps Network, Inc.",https://blogs.law.gwu.edu/mcir/case/inplay-darlene-love-v-scripps-network-inc/,N.D. Cal.,Christmas (Baby Please Come Home),,"Jeff Barry, et al.",
2016,US,"Casey Dienel v. Justin Bieber, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-casey-dienel-v-justin-bieber-et-al/,M.D. Tenn.,Ring the Bell,Sorry,Casey Dienel,"Julia Michael, Justin Tranter, Justin Bieber, Thomas Pentz, et al."
2016,US,"Cirque du Soleil v. Justin Timberlake, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-cirque-du-soleil-v-justin-timberlake-et-al/,S.D.N.Y.,Steel Dream,Don't Hold the Wall,Cirque du Soleil,"Justin Timberlake, et al."
